clusterNumber,5
id,Distance,AirTime,centroidID
122,277.0,37.0,0
123,367.0,61.0,1
124,367.0,66.0,1
125,367.0,62.0,1
126,1440.0,170.0,3
127,451.0,74.0,1
128,451.0,93.0,1
129,451.0,74.0,1
130,451.0,88.0,1
131,451.0,78.0,1
132,365.0,61.0,1
133,365.0,66.0,1
134,365.0,70.0,1
135,365.0,66.0,1
136,365.0,63.0,1
137,365.0,66.0,1
138,321.0,42.0,0
139,321.0,45.0,0
140,351.0,46.0,0
141,351.0,50.0,0
142,935.0,137.0,3
143,935.0,131.0,3
144,935.0,138.0,3
145,223.0,39.0,0
146,223.0,38.0,0
147,223.0,40.0,0
148,1076.0,161.0,3
149,453.0,88.0,1
150,453.0,86.0,1
151,453.0,65.0,1
152,453.0,72.0,1
153,237.0,45.0,0
154,237.0,46.0,0
155,237.0,43.0,0
156,237.0,45.0,0
157,237.0,45.0,0
158,237.0,47.0,0
159,237.0,49.0,0
160,869.0,115.0,2
161,869.0,124.0,2
162,727.0,107.0,2
163,972.0,151.0,3
164,587.0,88.0,2
165,587.0,80.0,1
166,587.0,87.0,1
167,1137.0,148.0,3
168,1137.0,143.0,3
169,1137.0,147.0,3
170,873.0,118.0,2
171,1788.0,242.0,4
172,920.0,127.0,2
173,920.0,131.0,2
174,920.0,118.0,2
175,174.0,30.0,0
176,174.0,31.0,0
177,174.0,31.0,0
178,174.0,29.0,0
179,487.0,87.0,1
180,487.0,81.0,1
181,487.0,76.0,1
182,1204.0,151.0,3
183,1204.0,160.0,3
184,1204.0,156.0,3
185,997.0,139.0,3
186,997.0,151.0,3
187,997.0,132.0,3
188,997.0,127.0,3
189,997.0,138.0,3
190,997.0,135.0,3
191,997.0,132.0,3
192,1048.0,148.0,3
193,1048.0,141.0,3
194,1984.0,281.0,4
195,180.0,33.0,0
196,180.0,34.0,0
197,180.0,33.0,0
198,1034.0,137.0,3
199,1034.0,136.0,3
200,1034.0,134.0,3
201,838.0,114.0,2
202,810.0,112.0,2
203,810.0,117.0,2
204,781.0,118.0,2
205,781.0,116.0,2
206,781.0,127.0,2
207,197.0,37.0,0
208,197.0,38.0,0
209,197.0,38.0,0
210,197.0,35.0,0
211,197.0,36.0,0
212,197.0,38.0,0
213,197.0,36.0,0
214,197.0,38.0,0
215,197.0,37.0,0
216,829.0,111.0,2
217,829.0,106.0,2
218,842.0,108.0,2
219,842.0,112.0,2
220,842.0,108.0,2
221,842.0,107.0,2
222,842.0,111.0,2
223,842.0,115.0,2
224,842.0,108.0,2
225,1054.0,136.0,3
226,612.0,94.0,2
227,612.0,90.0,2
228,612.0,96.0,2
229,612.0,92.0,2
230,612.0,88.0,2
231,460.0,72.0,1
232,460.0,74.0,1
233,1111.0,142.0,3
234,1111.0,144.0,3
235,928.0,129.0,2
236,1130.0,152.0,3
237,1497.0,206.0,4
238,351.0,61.0,0
239,351.0,62.0,0
240,869.0,115.0,2
241,869.0,117.0,2
242,1156.0,201.0,3
243,1156.0,210.0,3
244,254.0,38.0,0
245,254.0,38.0,0
246,254.0,42.0,0
247,1262.0,196.0,3
248,1262.0,187.0,3
249,1262.0,190.0,3
250,1262.0,182.0,3
